	epoch	train_loss	train_acc	test_loss	test_acc	width	nonlin	criterion
137	18	1.9425	0.3457	2.2386	0.2687	4096	relu	xent
138	19	1.9565	0.3403	2.3020	0.2737	4096	relu	xent
139	20	1.9640	0.3331	2.2006	0.2712	4096	relu	xent
140	1	1.9307	0.3307	2.3782	0.3330	8192	relu	xent
141	2	1.8880	0.3595	2.1241	0.3256	8192	relu	xent
142	3	1.8776	0.3660	1.9541	0.3535	8192	relu	xent
143	4	1.8721	0.3686	1.9258	0.3655	8192	relu	xent
144	5	1.8722	0.3752	1.9267	0.3424	8192	relu	xent
145	6	1.8671	0.3786	1.9488	0.3303	8192	relu	xent
146	7	1.8686	0.3808	1.9664	0.3148	8192	relu	xent
147	8	1.8620	0.3807	2.0376	0.3447	8192	relu	xent
148	9	1.8596	0.3857	2.0398	0.3474	8192	relu	xent
149	10	1.8793	0.3832	2.1018	0.3215	8192	relu	xent
150	11	1.8497	0.3870	2.0866	0.3427	8192	relu	xent
151	12	1.8527	0.3838	2.1666	0.3354	8192	relu	xent
152	13	1.8659	0.3864	2.1754	0.3378	8192	relu	xent
153	14	1.8647	0.3888	2.1710	0.3084	8192	relu	xent
154	15	1.8470	0.3894	2.1307	0.3306	8192	relu	xent
155	16	1.8532	0.3888	2.2100	0.3084	8192	relu	xent
156	17	1.8559	0.3901	2.4104	0.3005	8192	relu	xent
157	18	1.8943	0.3756	2.5063	0.3077	8192	relu	xent
158	19	1.8600	0.3860	2.3784	0.3107	8192	relu	xent
159	20	1.8673	0.3831	2.3023	0.2891	8192	relu	xent
160	1	0.0759	0.3861	2.1312	0.4331	64	relu	mse
161	2	0.0701	0.4561	2.0939	0.4596	64	relu	mse
162	3	0.0675	0.4811	2.0788	0.4783	64	relu	mse
163	4	0.0655	0.5039	2.0798	0.4764	64	relu	mse
164	5	0.0643	0.5170	2.0803	0.4876	64	relu	mse
165	6	0.0629	0.5303	2.0593	0.4930	64	relu	mse
166	7	0.0619	0.5409	2.0501	0.4895	64	relu	mse
167	8	0.0611	0.5497	2.0523	0.4994	64	relu	mse
168	9	0.0602	0.5591	2.0482	0.4924	64	relu	mse
169	10	0.0595	0.5663	2.0473	0.4994	64	relu	mse
170	11	0.0587	0.5746	2.0537	0.4939	64	relu	mse
171	12	0.0582	0.5811	2.0488	0.4932	64	relu	mse
172	13	0.0576	0.5842	2.0502	0.4967	64	relu	mse
173	14	0.0569	0.5903	2.0441	0.4980	64	relu	mse
174	15	0.0563	0.5985	2.0378	0.5008	64	relu	mse
175	16	0.0559	0.6031	2.0431	0.5028	64	relu	mse
176	17	0.0553	0.6083	2.0393	0.5036	64	relu	mse
177	18	0.0549	0.6109	2.0312	0.4993	64	relu	mse
178	19	0.0545	0.6160	2.0293	0.5022	64	relu	mse
179	20	0.0539	0.6210	2.0343	0.5034	64	relu	mse
180	1	0.0750	0.3984	2.1226	0.4429	128	relu	mse
181	2	0.0687	0.4714	2.0939	0.4774	128	relu	mse
182	3	0.0656	0.5046	2.0811	0.4790	128	relu	mse
183	4	0.0636	0.5255	2.0535	0.4990	128	relu	mse
184	5	0.0615	0.5459	2.0589	0.5031	128	relu	mse
185	6	0.0601	0.5628	2.0391	0.5044	128	relu	mse
186	7	0.0586	0.5779	2.0504	0.5045	128	relu	mse
187	8	0.0572	0.5921	2.0573	0.5042	128	relu	mse
188	9	0.0559	0.6042	2.0315	0.5074	128	relu	mse
189	10	0.0548	0.6172	2.0370	0.5156	128	relu	mse
190	11	0.0537	0.6267	2.0308	0.5129	128	relu	mse
191	12	0.0527	0.6379	2.0255	0.5090	128	relu	mse
192	13	0.0517	0.6480	2.0218	0.5082	128	relu	mse
193	14	0.0507	0.6567	2.0125	0.5107	128	relu	mse
194	15	0.0498	0.6647	2.0457	0.5031	128	relu	mse
195	16	0.0490	0.6758	2.0132	0.5175	128	relu	mse
196	17	0.0481	0.6824	2.0232	0.5041	128	relu	mse
197	18	0.0474	0.6881	2.0226	0.5012	128	relu	mse
198	19	0.0466	0.6963	2.0224	0.5095	128	relu	mse
199	20	0.0459	0.7050	2.0297	0.5069	128	relu	mse
200	1	0.0744	0.4078	2.1158	0.4656	256	relu	mse
201	2	0.0675	0.4852	2.0824	0.4922	256	relu	mse
202	3	0.0643	0.5207	2.0595	0.4977	256	relu	mse
203	4	0.0616	0.5480	2.0555	0.5127	256	relu	mse
204	5	0.0593	0.5711	2.0294	0.5147	256	relu	mse
205	6	0.0573	0.5929	2.0382	0.5231	256	relu	mse
206	7	0.0555	0.6145	2.0211	0.5188	256	relu	mse
207	8	0.0536	0.6321	1.9960	0.5219	256	relu	mse
208	9	0.0520	0.6495	2.0192	0.5272	256	relu	mse
209	10	0.0503	0.6668	2.0154	0.5184	256	relu	mse
210	11	0.0485	0.6838	2.0100	0.5260	256	relu	mse
211	12	0.0471	0.7012	2.0051	0.5317	256	relu	mse
212	13	0.0457	0.7129	1.9894	0.5299	256	relu	mse
213	14	0.0442	0.7279	1.9973	0.5265	256	relu	mse
214	15	0.0429	0.7416	2.0014	0.5249	256	relu	mse
215	16	0.0415	0.7531	2.0075	0.5243	256	relu	mse
216	17	0.0404	0.7671	1.9890	0.5233	256	relu	mse
217	18	0.0391	0.7757	1.9862	0.5260	256	relu	mse
218	19	0.0380	0.7882	1.9911	0.5272	256	relu	mse
219	20	0.0368	0.7988	1.9863	0.5201	256	relu	mse
220	1	0.0740	0.4122	2.1008	0.4666	512	relu	mse
221	2	0.0668	0.4940	2.0738	0.4969	512	relu	mse
222	3	0.0630	0.5348	2.0603	0.5070	512	relu	mse
223	4	0.0601	0.5681	2.0415	0.5251	512	relu	mse
224	5	0.0571	0.5973	2.0287	0.5256	512	relu	mse
225	6	0.0547	0.6242	2.0174	0.5303	512	relu	mse
226	7	0.0523	0.6505	2.0226	0.5335	512	relu	mse
227	8	0.0499	0.6761	2.0123	0.5324	512	relu	mse
228	9	0.0477	0.6980	1.9991	0.5345	512	relu	mse
229	10	0.0455	0.7216	2.0035	0.5346	512	relu	mse
230	11	0.0433	0.7447	2.0017	0.5374	512	relu	mse
231	12	0.0411	0.7670	1.9931	0.5389	512	relu	mse
232	13	0.0391	0.7865	1.9951	0.5343	512	relu	mse
233	14	0.0370	0.8065	1.9830	0.5410	512	relu	mse
234	15	0.0352	0.8248	1.9784	0.5388	512	relu	mse
235	16	0.0334	0.8404	1.9821	0.5338	512	relu	mse
236	17	0.0317	0.8559	1.9808	0.5372	512	relu	mse
237	18	0.0300	0.8705	1.9717	0.5419	512	relu	mse
238	19	0.0284	0.8831	1.9636	0.5347	512	relu	mse
239	20	0.0269	0.8940	1.9736	0.5378	512	relu	mse
240	1	0.0738	0.4135	2.0994	0.4624	1024	relu	mse
241	2	0.0663	0.4981	2.0734	0.5068	1024	relu	mse
242	3	0.0622	0.5437	2.0708	0.5148	1024	relu	mse
243	4	0.0588	0.5822	2.0465	0.5210	1024	relu	mse
244	5	0.0557	0.6160	2.0101	0.5228	1024	relu	mse
245	6	0.0526	0.6519	2.0140	0.5411	1024	relu	mse
246	7	0.0495	0.6849	2.0097	0.5377	1024	relu	mse
247	8	0.0466	0.7154	2.0054	0.5391	1024	relu	mse
248	9	0.0437	0.7482	1.9873	0.5443	1024	relu	mse
249	10	0.0407	0.7767	1.9937	0.5414	1024	relu	mse
250	11	0.0377	0.8080	1.9821	0.5470	1024	relu	mse
251	12	0.0350	0.8385	1.9772	0.5495	1024	relu	mse
252	13	0.0323	0.8603	1.9684	0.5537	1024	relu	mse
253	14	0.0299	0.8796	1.9676	0.5491	1024	relu	mse
254	15	0.0276	0.9011	1.9700	0.5543	1024	relu	mse
255	16	0.0252	0.9175	1.9689	0.5524	1024	relu	mse
256	17	0.0233	0.9307	1.9608	0.5481	1024	relu	mse
257	18	0.0213	0.9442	1.9559	0.5517	1024	relu	mse
258	19	0.0198	0.9524	1.9690	0.5428	1024	relu	mse
259	20	0.0180	0.9608	1.9568	0.5523	1024	relu	mse
260	1	0.0737	0.4189	2.1061	0.4725	2048	relu	mse
261	2	0.0660	0.5061	2.0717	0.5042	2048	relu	mse
262	3	0.0617	0.5510	2.0522	0.5028	2048	relu	mse
263	4	0.0579	0.5921	2.0443	0.5247	2048	relu	mse
264	5	0.0545	0.6322	2.0235	0.5367	2048	relu	mse
265	6	0.0508	0.6734	2.0116	0.5429	2048	relu	mse
266	7	0.0474	0.7120	1.9963	0.5513	2048	relu	mse
267	8	0.0438	0.7514	1.9886	0.5491	2048	relu	mse
268	9	0.0401	0.7892	1.9748	0.5463	2048	relu	mse
269	10	0.0365	0.8275	1.9847	0.5565	2048	relu	mse
270	11	0.0331	0.8581	1.9721	0.5492	2048	relu	mse
271	12	0.0298	0.8890	1.9652	0.5582	2048	relu	mse
272	13	0.0266	0.9140	1.9793	0.5565	2048	relu	mse
273	14	0.0238	0.9349	1.9621	0.5597	2048	relu	mse
274	15	0.0211	0.9493	1.9600	0.5600	2048	relu	mse
275	16	0.0187	0.9621	1.9593	0.5652	2048	relu	mse
276	17	0.0165	0.9724	1.9539	0.5645	2048	relu	mse
277	18	0.0147	0.9785	1.9533	0.5692	2048	relu	mse
278	19	0.0130	0.9835	1.9595	0.5634	2048	relu	mse
279	20	0.0116	0.9874	1.9488	0.5693	2048	relu	mse
280	1	0.0736	0.4172	2.0968	0.4700	4096	relu	mse
281	2	0.0659	0.5042	2.0693	0.5058	4096	relu	mse
282	3	0.0613	0.5539	2.0428	0.5286	4096	relu	mse
283	4	0.0575	0.5976	2.0319	0.5347	4096	relu	mse
284	5	0.0536	0.6427	2.0115	0.5424	4096	relu	mse
285	6	0.0497	0.6856	1.9987	0.5496	4096	relu	mse
286	7	0.0458	0.7310	1.9854	0.5539	4096	relu	mse
287	8	0.0417	0.7727	1.9943	0.5473	4096	relu	mse
288	9	0.0377	0.8165	1.9856	0.5591	4096	relu	mse
289	10	0.0334	0.8585	1.9813	0.5579	4096	relu	mse
290	11	0.0297	0.8930	1.9597	0.5704	4096	relu	mse
291	12	0.0259	0.9226	1.9760	0.5620	4096	relu	mse
292	13	0.0225	0.9420	1.9569	0.5761	4096	relu	mse
293	14	0.0196	0.9587	1.9490	0.5726	4096	relu	mse
294	15	0.0169	0.9713	1.9588	0.5714	4096	relu	mse
295	16	0.0144	0.9799	1.9562	0.5750	4096	relu	mse
296	17	0.0124	0.9852	1.9515	0.5755	4096	relu	mse
297	18	0.0107	0.9893	1.9418	0.5821	4096	relu	mse
298	19	0.0093	0.9918	1.9474	0.5794	4096	relu	mse
299	20	0.0080	0.9940	1.9445	0.5851	4096	relu	mse
300	1	0.0735	0.4203	2.0840	0.4786	8192	relu	mse
301	2	0.0657	0.5074	2.0609	0.4969	8192	relu	mse
302	3	0.0612	0.5570	2.0329	0.5283	8192	relu	mse
303	4	0.0571	0.6006	2.0229	0.5312	8192	relu	mse
304	5	0.0529	0.6482	2.0107	0.5540	8192	relu	mse
305	6	0.0489	0.6948	2.0114	0.5553	8192	relu	mse
306	7	0.0447	0.7427	1.9929	0.5633	8192	relu	mse
307	8	0.0402	0.7913	1.9818	0.5665	8192	relu	mse
308	9	0.0356	0.8395	1.9741	0.5640	8192	relu	mse
309	10	0.0312	0.8785	1.9731	0.5706	8192	relu	mse
